original_name,new_name,Subject_area,Attribute_description
PLZ,Postcode,Holder,"Postcode_of_the_vehicle's_location_or_holder's_address
If_available:_Indication_of_the_vehicle's_location
Otherwise:_Indication_of_the_current_or_last_holder's_address"
Schildart,Plate_type,Vehicle_registration_plate,Type_of_registration_plate
Schildart_Code,Plate_type_code,Vehicle_registration_plate,Code_for_the_type_of_registration_plate
Schildfarbe,Plate_colour,Vehicle_registration_plate,"Colour_of_the_registration_plate
Field_15_on_the_vehicle_registration_document
Corresponds_to_the_actual_colour_of_the_vehicle_registration_plate._Exceptions:_Registration_plate_canton_FL_and_M_(military)"
Schildfarbe_Code,Plate_colour_code,Vehicle_registration_plate,"Code_for_the_colour_of_the_registration_plate
Field_15_on_the_vehicle_registration_document
Corresponds_to_the_actual_colour_of_the_vehicle_registration_plate._Exceptions:_Registration_plate_canton_FL_and_M_(military)"
Sitzplätze,Seats,Vehicle_technology,"Number_of_seats
Field_27_on_the_vehicle_registration_document"
Sitzplätze_vorne,Front_seats,Vehicle_technology,"Number_of_front_seats_
Field_27_on_the_vehicle_registration_document"
Staat,Country,Holder,"Country_of_vehicle's_location_or_holder's_address
If_available:_Indication_of_the_vehicle's_location
Otherwise:_Indication_of_the_current_or_last_holder's_address"
Staat_Code,Country_code,Holder,"Country_of_vehicle's_location_or_holder's_address
If_available:_Indication_of_the_vehicle's_location
Otherwise:_Indication_of_the_current_or_last_holder's_address"
Stehplätze,Standing_capacity,Vehicle_technology,Number_of_standing_places
Tankinhalt_Aufbau,Tank_superstructure,Vehicle_technology,Indication_of_the_vehicle's_tank_capacity_(load)_in_litres_(e.g._for_a_tanker_lorry)
Tankinhalt_Aufbaus,Tank_superstructure,Vehicle_technology,Indication_of_the_vehicle's_tank_capacity_(load)_in_litres_(e.g._for_a_tanker_lorry)
Treibstoff,Fuel,Vehicle_technology,Vehicle's_fuel_type
Treibstoff_Code,Fuel_code,Vehicle_technology,Code_for_the_vehicle's_fuel_type
Typ,Type,Vehicle_type,Type_as_per_electronic_CoC
Typ1,Type1,Vehicle_type,Excerpted_data_from_the_'Make'_and_'Make_and_type'_fields
Typ2,Type2,Vehicle_type,Excerpted_data_from_the_'Make'_and_'Make_and_type'_fields
Typ3,Type3,Vehicle_type,Excerpted_data_from_the_'Make'_and_'Make_and_type'_fields
Typ4,Type4,Vehicle_type,Excerpted_data_from_the_'Make'_and_'Make_and_type'_fields
Typengenehmigungs-Nr,Type_approval_No,Vehicle_type,"Number_of_the_Swiss_type_approval_(also_type_certificate,_Swiss_data_sheet,_TA_No)
Field_24_on_the_vehicle_registration_document
Meaning_of_special_values:
X_or_left_blank:_Direct_import_with_individual_vehicle_approval
.X....:_Parallel_import_with_Swiss_type_approval
IVI:_Registered_via_eCOC_(Initial_Vehicle_Information),_without_Swiss_type_approval"
Typengenehmigungs-Nr_Zusatz,Type_approval_No_detail,Vehicle_type,"Additional_information_on_type_approval
Meaning_of_the_values:
M:_Vehicle_with_tech._modifications_with_respect_to_type_approval_No
C:_Modifications_in_type_of_vehicle_with_respect_to_type_approval_No
X:_Exempt_from_type_approval,_but_corresponds_to_a_type_approval
Y:_Combination_of_X+M_or_X+C"
Variante,Variant,Vehicle_type,Variant_as_per_electronic_CoC
Version,Version,Vehicle_type,Version_as_per_electronic_CoC
Zylinder,Cylinders,Vehicle_technology,Number_of_cylinders
Neuzulassungen_bis,New_registrations_to,Metadata,Date_range_(end_date)_of_new_registrations_included
Neuzulassungen_von,New_registrations_from,Metadata,Date_range_(start_date)_of_new_registrations_included
Datenstand,Date_updated,Metadata,Date of last modification (review) of the data
Energieeffizienzkategorie,Energy_efficiency_category,Registration / Administration,Indication of the energy efficiency category reassessed annually
